lon,lat,date,day_of_week,month_name
2.171,41.406,2019-05-20,Monday,May
2.171,41.406,2019-07-28,Sunday,July
2.171,41.406,2019-02-10,Sunday,February
2.172,41.406,2019-11-29,Friday,November
2.172,41.406,2019-07-11,Thursday,July
2.172,41.406,2019-07-12,Friday,July
2.172,41.406,2019-09-19,Thursday,September
2.173,41.406,2019-11-08,Friday,November
2.17,41.406,2019-11-06,Wednesday,November
2.171,41.406,2019-01-29,Tuesday,January
2.171,41.406,2019-12-28,Saturday,December
2.171,41.406,2019-05-10,Friday,May
2.171,41.406,2019-03-20,Wednesday,March
2.171,41.406,2019-06-22,Saturday,June
2.171,41.406,2019-12-23,Monday,December
2.172,41.406,2019-09-14,Saturday,September
2.172,41.406,2019-07-28,Sunday,July
2.172,41.406,2019-09-30,Monday,September
2.172,41.406,2019-02-17,Sunday,February
2.173,41.406,2019-10-27,Sunday,October
2.174,41.406,2019-02-12,Tuesday,February
2.147,41.408,2019-07-08,Monday,July
2.17,41.406,2019-09-06,Friday,September
2.17,41.406,2019-04-17,Wednesday,April
2.171,41.406,2019-10-09,Wednesday,October
2.171,41.406,2019-02-12,Tuesday,February
2.171,41.406,2019-04-19,Friday,April
2.171,41.406,2019-05-22,Wednesday,May
2.171,41.406,2019-01-27,Sunday,January
2.171,41.406,2019-05-10,Friday,May
2.172,41.406,2019-06-14,Friday,June
2.172,41.406,2019-03-16,Saturday,March
2.172,41.406,2019-02-11,Monday,February
2.172,41.406,2019-09-20,Friday,September
2.173,41.406,2019-09-18,Wednesday,September
2.174,41.406,2019-10-03,Thursday,October
2.17,41.406,2019-08-16,Friday,August
2.171,41.406,2019-12-22,Sunday,December
2.171,41.406,2019-10-03,Thursday,October
2.171,41.406,2019-06-30,Sunday,June
2.171,41.406,2019-04-23,Tuesday,April
2.171,41.406,2019-12-23,Monday,December
2.171,41.406,2019-11-10,Sunday,November
2.172,41.406,2019-12-18,Wednesday,December
2.172,41.406,2019-06-09,Sunday,June
2.172,41.406,2019-02-13,Wednesday,February
2.172,41.406,2019-12-21,Saturday,December
2.173,41.406,2019-05-28,Tuesday,May
2.174,41.406,2019-02-26,Tuesday,February
2.17,41.406,2019-03-11,Monday,March
2.17,41.406,2019-04-30,Tuesday,April
2.171,41.406,2019-11-26,Tuesday,November
2.171,41.406,2019-11-28,Thursday,November
2.171,41.406,2019-03-08,Friday,March
2.171,41.406,2019-01-20,Sunday,January
2.171,41.406,2019-02-02,Saturday,February
2.171,41.406,2019-01-02,Wednesday,January
2.172,41.406,2019-03-29,Friday,March
2.172,41.406,2019-03-06,Wednesday,March
2.172,41.406,2019-03-28,Thursday,March
2.172,41.406,2019-01-27,Sunday,January
2.173,41.406,2019-01-08,Tuesday,January
2.173,41.406,2019-09-29,Sunday,September
2.173,41.406,2019-07-26,Friday,July
2.174,41.406,2019-12-02,Monday,December
2.174,41.406,2019-04-07,Sunday,April
2.17,41.406,2019-11-25,Monday,November
2.17,41.406,2019-06-19,Wednesday,June
2.171,41.406,2019-01-15,Tuesday,January
2.171,41.406,2019-08-30,Friday,August
2.171,41.406,2019-12-03,Tuesday,December
2.171,41.406,2019-11-12,Tuesday,November
2.171,41.406,2019-02-18,Monday,February
2.171,41.406,2019-06-19,Wednesday,June
2.171,41.406,2019-02-07,Thursday,February
2.171,41.406,2019-09-04,Wednesday,September
2.172,41.406,2019-03-22,Friday,March
2.172,41.406,2019-11-29,Friday,November
2.172,41.406,2019-07-11,Thursday,July
2.172,41.406,2019-02-18,Monday,February
2.173,41.406,2019-06-25,Tuesday,June
2.174,41.406,2019-06-03,Monday,June
2.174,41.406,2019-03-21,Thursday,March
2.201,41.406,2019-12-01,Sunday,December
2.17,41.406,2019-02-21,Thursday,February
2.17,41.406,2019-09-17,Tuesday,September
2.171,41.406,2019-04-23,Tuesday,April
2.171,41.406,2019-01-21,Monday,January
2.171,41.406,2019-08-08,Thursday,August
2.171,41.406,2019-12-19,Thursday,December
2.171,41.406,2019-01-18,Friday,January
2.171,41.406,2019-01-17,Thursday,January
2.171,41.406,2019-07-28,Sunday,July
2.171,41.406,2019-10-29,Tuesday,October
2.172,41.406,2019-01-21,Monday,January
2.172,41.406,2019-01-09,Wednesday,January
2.172,41.406,2019-11-17,Sunday,November
2.172,41.406,2019-03-09,Saturday,March
2.173,41.406,2019-07-01,Monday,July
2.17,41.406,2019-04-28,Sunday,April
2.17,41.406,2019-11-21,Thursday,November
2.17,41.406,2019-05-27,Monday,May
2.17,41.406,2019-10-16,Wednesday,October
2.171,41.406,2019-08-08,Thursday,August
2.171,41.406,2019-10-21,Monday,October
2.171,41.406,2019-04-23,Tuesday,April
2.171,41.406,2019-10-21,Monday,October
2.171,41.406,2019-02-12,Tuesday,February
2.171,41.406,2019-02-26,Tuesday,February
2.171,41.406,2019-02-11,Monday,February
2.172,41.406,2019-05-11,Saturday,May
2.172,41.406,2019-12-20,Friday,December
2.172,41.406,2019-10-12,Saturday,October
2.172,41.406,2019-07-13,Saturday,July
2.173,41.406,2019-01-04,Friday,January
2.171,41.406,2019-04-25,Thursday,April
2.171,41.406,2019-08-15,Thursday,August
2.172,41.406,2019-05-27,Monday,May
2.172,41.406,2019-07-27,Saturday,July
2.171,41.406,2019-11-29,Friday,November
2.171,41.406,2019-10-17,Thursday,October
2.171,41.406,2019-06-07,Friday,June
2.171,41.406,2019-09-19,Thursday,September
2.172,41.406,2019-11-17,Sunday,November
2.175,41.406,2019-12-31,Tuesday,December
2.174,41.406,2019-01-02,Wednesday,January
2.174,41.406,2019-06-22,Saturday,June
2.174,41.406,2019-07-27,Saturday,July
2.174,41.406,2019-03-15,Friday,March
2.174,41.405,2019-11-26,Tuesday,November
2.151,41.405,2019-08-26,Monday,August
2.174,41.406,2019-05-26,Sunday,May
2.174,41.405,2019-01-07,Monday,January
2.174,41.406,2019-06-23,Sunday,June
2.174,41.406,2019-01-03,Thursday,January
2.175,41.407,2019-11-19,Tuesday,November
2.17,41.405,2019-07-09,Tuesday,July
2.17,41.405,2019-03-29,Friday,March
2.17,41.405,2019-05-03,Friday,May
2.17,41.405,2019-12-04,Wednesday,December
2.171,41.405,2019-06-08,Saturday,June
2.171,41.405,2019-05-03,Friday,May
2.172,41.406,2019-01-12,Saturday,January
2.174,41.405,2019-07-14,Sunday,July
2.201,41.406,2019-06-24,Monday,June
2.171,41.405,2019-08-20,Tuesday,August
2.171,41.405,2019-03-18,Monday,March
2.171,41.405,2019-03-10,Sunday,March
2.171,41.405,2019-04-02,Tuesday,April
2.171,41.405,2019-01-01,Tuesday,January
2.171,41.405,2019-05-23,Thursday,May
2.172,41.405,2019-11-26,Tuesday,November
2.17,41.405,2019-09-08,Sunday,September
2.17,41.405,2019-10-27,Sunday,October
2.17,41.405,2019-05-05,Sunday,May
2.171,41.405,2019-06-06,Thursday,June
2.171,41.405,2019-03-14,Thursday,March
2.174,41.405,2019-07-29,Monday,July
2.174,41.405,2019-03-28,Thursday,March
2.174,41.405,2019-01-13,Sunday,January
2.174,41.406,2019-07-11,Thursday,July
2.171,41.405,2019-01-21,Monday,January
2.171,41.405,2019-11-04,Monday,November
2.171,41.405,2019-05-24,Friday,May
2.171,41.405,2019-09-19,Thursday,September
2.171,41.405,2019-12-12,Thursday,December
2.172,41.405,2019-08-29,Thursday,August
2.174,41.405,2019-06-29,Saturday,June
2.174,41.405,2019-03-28,Thursday,March
2.174,41.405,2019-01-14,Monday,January
2.175,41.405,2019-04-18,Thursday,April
2.175,41.405,2019-03-02,Saturday,March
2.175,41.405,2019-09-18,Wednesday,September
2.175,41.405,2019-10-27,Sunday,October
2.175,41.406,2019-12-25,Wednesday,December
2.201,41.406,2019-05-02,Thursday,May
2.171,41.405,2019-08-03,Saturday,August
2.176,41.406,2019-11-23,Saturday,November
2.174,41.405,2019-08-07,Wednesday,August
2.174,41.405,2019-02-24,Sunday,February
2.175,41.405,2019-03-06,Wednesday,March
2.175,41.405,2019-01-16,Wednesday,January
2.175,41.405,2019-12-27,Friday,December
2.175,41.405,2019-08-04,Sunday,August
2.175,41.405,2019-10-04,Friday,October
2.173,41.405,2019-02-08,Friday,February
2.174,41.405,2019-04-17,Wednesday,April
2.174,41.405,2019-08-19,Monday,August
2.174,41.405,2019-03-14,Thursday,March
2.174,41.405,2019-10-17,Thursday,October
2.174,41.405,2019-12-24,Tuesday,December
2.174,41.405,2019-05-21,Tuesday,May
2.175,41.405,2019-06-26,Wednesday,June
2.17,41.405,2019-06-08,Saturday,June
2.17,41.405,2019-07-22,Monday,July
2.17,41.405,2019-09-06,Friday,September
2.171,41.405,2019-12-11,Wednesday,December
2.17,41.405,2019-11-21,Thursday,November
2.17,41.405,2019-04-20,Saturday,April
2.171,41.405,2019-05-20,Monday,May
2.171,41.405,2019-07-18,Thursday,July
2.171,41.405,2019-04-04,Thursday,April
2.17,41.405,2019-10-12,Saturday,October
2.171,41.405,2019-12-08,Sunday,December
2.171,41.405,2019-05-21,Tuesday,May
2.171,41.405,2019-02-03,Sunday,February
2.172,41.405,2019-10-21,Monday,October
2.173,41.405,2019-11-10,Sunday,November
2.171,41.405,2019-07-06,Saturday,July
2.173,41.405,2019-07-08,Monday,July
2.175,41.405,2019-02-12,Tuesday,February
2.175,41.405,2019-10-10,Thursday,October
2.175,41.405,2019-10-28,Monday,October
2.175,41.405,2019-01-15,Tuesday,January
2.175,41.406,2019-05-02,Thursday,May
2.173,41.405,2019-02-02,Saturday,February
2.174,41.405,2019-04-16,Tuesday,April
2.174,41.405,2019-07-27,Saturday,July
2.174,41.405,2019-04-13,Saturday,April
2.174,41.405,2019-11-22,Friday,November
2.174,41.405,2019-09-19,Thursday,September
2.174,41.405,2019-01-13,Sunday,January
2.174,41.405,2019-05-23,Thursday,May
2.174,41.405,2019-08-15,Thursday,August
2.175,41.405,2019-04-28,Sunday,April
2.17,41.404,2019-04-14,Sunday,April
2.171,41.404,2019-06-05,Wednesday,June
2.173,41.405,2019-07-31,Wednesday,July
2.173,41.405,2019-01-06,Sunday,January
2.174,41.405,2019-08-17,Saturday,August
2.175,41.405,2019-04-06,Saturday,April
2.175,41.405,2019-09-26,Thursday,September
2.175,41.405,2019-12-08,Sunday,December
2.175,41.405,2019-01-16,Wednesday,January
2.175,41.405,2019-12-01,Sunday,December
2.175,41.406,2019-09-21,Saturday,September
2.171,41.404,2019-04-29,Monday,April
2.173,41.405,2019-01-16,Wednesday,January
2.173,41.405,2019-12-25,Wednesday,December
2.174,41.405,2019-04-04,Thursday,April
2.174,41.405,2019-03-04,Monday,March
2.174,41.405,2019-03-07,Thursday,March
2.174,41.405,2019-09-12,Thursday,September
2.174,41.405,2019-11-03,Sunday,November
2.174,41.405,2019-12-20,Friday,December
2.174,41.405,2019-03-23,Saturday,March
2.17,41.404,2019-03-22,Friday,March
2.171,41.404,2019-11-20,Wednesday,November
2.171,41.404,2019-04-20,Saturday,April
2.173,41.405,2019-01-30,Wednesday,January
2.173,41.404,2019-09-16,Monday,September
2.173,41.404,2019-08-30,Friday,August
2.173,41.404,2019-12-04,Wednesday,December
2.174,41.404,2019-12-18,Wednesday,December
2.174,41.404,2019-10-11,Friday,October
2.174,41.404,2019-05-17,Friday,May
2.174,41.404,2019-04-23,Tuesday,April
2.174,41.404,2019-07-26,Friday,July
2.174,41.404,2019-04-13,Saturday,April
2.174,41.404,2019-03-04,Monday,March
2.174,41.404,2019-05-26,Sunday,May
2.175,41.404,2019-08-30,Friday,August
2.175,41.404,2019-05-12,Sunday,May
2.175,41.404,2019-10-15,Tuesday,October
2.175,41.404,2019-10-22,Tuesday,October
2.175,41.404,2019-08-28,Wednesday,August
2.175,41.406,2019-12-25,Wednesday,December
2.17,41.404,2019-06-25,Tuesday,June
2.171,41.404,2019-09-08,Sunday,September
2.173,41.404,2019-03-23,Saturday,March
2.171,41.404,2019-05-03,Friday,May
2.171,41.404,2019-11-12,Tuesday,November
2.172,41.404,2019-12-24,Tuesday,December
2.173,41.404,2019-12-20,Friday,December
2.173,41.404,2019-08-11,Sunday,August
2.173,41.404,2019-04-01,Monday,April
2.173,41.404,2019-08-17,Saturday,August
2.174,41.404,2019-10-22,Tuesday,October
2.174,41.404,2019-12-26,Thursday,December
2.174,41.404,2019-09-03,Tuesday,September
2.174,41.404,2019-10-31,Thursday,October
2.174,41.404,2019-07-21,Sunday,July
2.174,41.404,2019-08-03,Saturday,August
2.174,41.404,2019-01-24,Thursday,January
2.174,41.404,2019-01-31,Thursday,January
2.175,41.404,2019-01-03,Thursday,January
2.175,41.404,2019-02-13,Wednesday,February
2.175,41.404,2019-09-21,Saturday,September
2.175,41.404,2019-01-11,Friday,January
2.171,41.404,2019-10-29,Tuesday,October
2.171,41.404,2019-08-20,Tuesday,August
2.171,41.404,2019-12-15,Sunday,December
2.171,41.404,2019-12-01,Sunday,December
2.171,41.404,2019-06-16,Sunday,June
2.172,41.404,2019-04-22,Monday,April
2.173,41.404,2019-01-14,Monday,January
2.173,41.404,2019-11-02,Saturday,November
2.173,41.404,2019-10-23,Wednesday,October
2.174,41.404,2019-04-10,Wednesday,April
2.174,41.404,2019-05-22,Wednesday,May
2.174,41.404,2019-08-28,Wednesday,August
2.174,41.404,2019-02-13,Wednesday,February
2.174,41.404,2019-09-11,Wednesday,September
2.174,41.404,2019-09-17,Tuesday,September
2.174,41.404,2019-11-15,Friday,November
2.174,41.404,2019-03-13,Wednesday,March
2.175,41.404,2019-08-05,Monday,August
2.175,41.404,2019-08-05,Monday,August
2.175,41.404,2019-01-16,Wednesday,January
2.173,41.404,2019-02-18,Monday,February
2.173,41.404,2019-06-17,Monday,June
2.173,41.404,2019-05-22,Wednesday,May
2.172,41.404,2019-03-18,Monday,March
2.146,41.404,2019-11-03,Sunday,November
2.17,41.404,2019-11-21,Thursday,November
2.17,41.404,2019-10-18,Friday,October
2.172,41.404,2019-06-15,Saturday,June
2.17,41.404,2019-04-11,Thursday,April
2.171,41.404,2019-07-29,Monday,July
2.171,41.404,2019-03-05,Tuesday,March
2.171,41.404,2019-04-17,Wednesday,April
2.171,41.404,2019-09-10,Tuesday,September
2.171,41.404,2019-11-28,Thursday,November
2.171,41.404,2019-09-15,Sunday,September
2.171,41.404,2019-08-04,Sunday,August
2.171,41.404,2019-02-09,Saturday,February
2.173,41.404,2019-03-03,Sunday,March
2.173,41.404,2019-12-01,Sunday,December
2.173,41.404,2019-05-02,Thursday,May
2.174,41.404,2019-09-20,Friday,September
2.174,41.404,2019-01-31,Thursday,January
2.174,41.404,2019-08-30,Friday,August
2.174,41.404,2019-04-25,Thursday,April
2.174,41.404,2019-03-19,Tuesday,March
2.174,41.404,2019-07-25,Thursday,July
2.174,41.404,2019-04-03,Wednesday,April
2.174,41.404,2019-10-19,Saturday,October
2.175,41.404,2019-02-27,Wednesday,February
2.175,41.404,2019-11-23,Saturday,November
2.172,41.404,2019-04-26,Friday,April
2.172,41.404,2019-02-12,Tuesday,February
2.173,41.404,2019-09-28,Saturday,September
2.173,41.404,2019-09-15,Sunday,September
2.173,41.404,2019-01-05,Saturday,January
2.173,41.404,2019-08-19,Monday,August
2.173,41.404,2019-12-11,Wednesday,December
2.174,41.404,2019-01-26,Saturday,January
2.174,41.404,2019-03-17,Sunday,March
2.174,41.404,2019-09-19,Thursday,September
2.174,41.404,2019-02-16,Saturday,February
2.174,41.404,2019-04-24,Wednesday,April
2.174,41.404,2019-04-18,Thursday,April
2.174,41.404,2019-08-13,Tuesday,August
2.175,41.404,2019-07-13,Saturday,July
2.17,41.404,2019-01-22,Tuesday,January
2.171,41.404,2019-12-16,Monday,December
2.171,41.404,2019-03-07,Thursday,March
2.171,41.404,2019-11-23,Saturday,November
2.171,41.404,2019-04-11,Thursday,April
2.171,41.404,2019-12-19,Thursday,December
2.173,41.404,2019-01-11,Friday,January
2.173,41.404,2019-08-26,Monday,August
2.173,41.404,2019-08-22,Thursday,August
2.173,41.404,2019-05-14,Tuesday,May
2.173,41.404,2019-06-06,Thursday,June
2.174,41.404,2019-10-02,Wednesday,October
2.174,41.404,2019-11-09,Saturday,November
2.174,41.404,2019-05-14,Tuesday,May
2.174,41.404,2019-09-01,Sunday,September
2.174,41.404,2019-12-26,Thursday,December
2.171,41.404,2019-11-17,Sunday,November
2.172,41.404,2019-06-12,Wednesday,June
2.172,41.404,2019-10-07,Monday,October
2.173,41.404,2019-08-27,Tuesday,August
2.173,41.404,2019-10-19,Saturday,October
2.174,41.404,2019-07-19,Friday,July
2.174,41.404,2019-01-09,Wednesday,January
2.171,41.404,2019-08-28,Wednesday,August
2.171,41.403,2019-04-13,Saturday,April
2.171,41.404,2019-01-04,Friday,January
2.171,41.404,2019-01-16,Wednesday,January
2.173,41.404,2019-07-23,Tuesday,July
2.173,41.404,2019-09-07,Saturday,September
2.173,41.404,2019-04-30,Tuesday,April
2.174,41.404,2019-04-23,Tuesday,April
2.174,41.404,2019-01-05,Saturday,January
2.174,41.404,2019-05-15,Wednesday,May
2.174,41.404,2019-07-25,Thursday,July
2.174,41.404,2019-12-02,Monday,December
2.171,41.403,2019-09-08,Sunday,September
2.171,41.404,2019-12-29,Sunday,December
2.172,41.404,2019-05-15,Wednesday,May
2.172,41.404,2019-03-20,Wednesday,March
2.173,41.404,2019-05-09,Thursday,May
2.173,41.404,2019-11-19,Tuesday,November
2.173,41.404,2019-01-24,Thursday,January
2.174,41.404,2019-02-13,Wednesday,February
2.174,41.404,2019-09-24,Tuesday,September
2.174,41.404,2019-12-09,Monday,December
2.171,41.403,2019-03-19,Tuesday,March
2.171,41.403,2019-12-28,Saturday,December
2.172,41.403,2019-01-18,Friday,January
2.173,41.403,2019-09-06,Friday,September
2.173,41.403,2019-11-03,Sunday,November
2.173,41.403,2019-07-14,Sunday,July
2.174,41.403,2019-12-18,Wednesday,December
2.171,41.403,2019-03-28,Thursday,March
2.172,41.403,2019-01-17,Thursday,January
2.173,41.403,2019-02-25,Monday,February
2.171,41.403,2019-04-04,Thursday,April
2.172,41.403,2019-11-08,Friday,November
2.213,41.404,2019-07-10,Wednesday,July
2.171,41.403,2019-05-29,Wednesday,May
2.172,41.403,2019-09-20,Friday,September
2.172,41.403,2019-08-05,Monday,August
2.172,41.403,2019-01-29,Tuesday,January
2.173,41.403,2019-08-18,Sunday,August
2.173,41.403,2019-03-06,Wednesday,March
2.172,41.403,2019-03-15,Friday,March
2.173,41.403,2019-01-30,Wednesday,January
2.171,41.403,2019-01-24,Thursday,January
2.171,41.403,2019-02-08,Friday,February
2.173,41.403,2019-05-14,Tuesday,May
2.172,41.403,2019-11-29,Friday,November
2.173,41.403,2019-11-15,Friday,November
2.17,41.403,2019-06-03,Monday,June
2.152,41.402,2019-01-10,Thursday,January
2.152,41.402,2019-03-18,Monday,March
2.156,41.401,2019-11-04,Monday,November
2.152,41.401,2019-08-24,Saturday,August
2.156,41.401,2019-09-20,Friday,September
2.16,41.402,2019-04-23,Tuesday,April
2.159,41.401,2019-07-19,Friday,July
2.153,41.401,2019-08-12,Monday,August
2.16,41.402,2019-07-31,Wednesday,July
2.16,41.402,2019-05-11,Saturday,May
2.158,41.401,2019-09-25,Wednesday,September
2.174,41.401,2019-08-29,Thursday,August
2.21,41.402,2019-05-08,Wednesday,May
2.158,41.401,2019-02-25,Monday,February
2.158,41.401,2019-01-08,Tuesday,January
2.157,41.401,2019-11-09,Saturday,November
2.158,41.401,2019-06-07,Friday,June
2.159,41.401,2019-06-17,Monday,June
2.159,41.401,2019-10-14,Monday,October
2.159,41.401,2019-02-02,Saturday,February
2.165,41.401,2019-09-26,Thursday,September
2.174,41.401,2019-01-26,Saturday,January
2.156,41.401,2019-12-18,Wednesday,December
2.157,41.401,2019-10-25,Friday,October
2.158,41.401,2019-04-11,Thursday,April
2.165,41.401,2019-01-29,Tuesday,January
2.157,41.401,2019-04-28,Sunday,April
2.158,41.401,2019-06-27,Thursday,June
2.159,41.401,2019-10-10,Thursday,October
2.159,41.401,2019-04-20,Saturday,April
